City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Farah,AF,32.5,62.5,81.43,17,17,5.28,few clouds
187,San Patricio,US,28.017,-97.5169,78.89,92,53,16.78,broken clouds
188,Bacolod,PH,10.6667,122.95,89.38,63,42,12.1,scattered clouds
189,Krasnyy Kholm,RU,58.0607,37.1203,47.3,92,100,7.85,overcast clouds
190,Port Hedland,AU,-20.3167,118.5667,93.25,21,77,17.27,broken clouds
191,Madhugiri,IN,13.6606,77.2092,94.32,23,10,7.61,clear sky
192,Leningradskiy,RU,69.3833,178.4167,21.18,89,86,5.23,overcast clouds
193,Port Hardy,CA,50.6996,-127.4199,42.98,93,75,11.5,light intensity shower rain
194,Bethel,US,41.3712,-73.414,46.02,74,29,3.15,scattered clouds
195,Haines Junction,CA,60.7522,-137.5108,34.52,91,95,1.81,overcast clouds
196,Feltre,IT,46.0235,11.907,51.12,94,95,2.28,overcast clouds
197,Tiksi,RU,71.6872,128.8694,9.16,89,97,4.16,overcast clouds
198,Gomel,BY,52.4345,30.9754,55.81,71,100,11.18,overcast clouds
199,Hasaki,JP,35.7333,140.8333,77.4,69,35,8.5,scattered clouds
200,Sydney,AU,-33.8679,151.2073,70.36,64,40,12.66,scattered clouds
201,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,45,6.6,scattered clouds
202,Nyrob,RU,60.733,56.7202,41.05,85,99,6.08,overcast clouds
203,Rimouski,CA,48.4488,-68.524,32.52,84,95,2.68,overcast clouds
204,Puerto Colombia,CO,10.9878,-74.9547,80.69,77,76,15.19,broken clouds
205,Karratha,AU,-20.7377,116.8463,88.9,33,68,12.1,broken clouds
206,Menongue,AO,-14.6585,17.691,61.29,68,50,2.3,scattered clouds
207,Awjilah,LY,29.1081,21.2869,71.91,35,33,4.79,scattered clouds
208,Caravelas,BR,-17.7125,-39.2481,75.0,90,3,2.84,clear sky
209,Abu Kamal,SY,34.4506,40.9171,74.35,34,26,2.86,scattered clouds
210,Uruzgan,AF,32.8333,66.0,69.76,28,0,3.02,clear sky
211,New Norfolk,AU,-42.7826,147.0587,61.66,66,100,3.02,overcast clouds
212,Mataram,ID,-8.5833,116.1167,88.61,72,54,2.57,broken clouds
213,Kongolo,CD,-5.3833,27.0,71.62,93,89,1.72,overcast clouds
214,Baghdad,IQ,33.3406,44.4009,75.11,46,32,6.91,dust
215,Christchurch,NZ,-43.5333,172.6333,59.2,74,3,10.36,clear sky
216,Odweyne,SO,9.4092,45.064,76.28,63,99,13.0,light rain
217,Juneau,US,58.3019,-134.4197,44.22,96,75,3.44,broken clouds
218,Abnub,EG,27.2696,31.1511,78.12,18,0,7.54,clear sky
219,Honiara,SB,-9.4333,159.95,83.64,75,59,2.59,broken clouds
220,Zhuhai,CN,22.2769,113.5678,93.85,83,40,10.36,scattered clouds
221,Malinovoye Ozero,RU,51.6753,79.7825,49.05,28,67,11.21,broken clouds
222,Coihaique,CL,-45.5752,-72.0662,33.75,93,100,3.44,overcast clouds
223,Lorengau,PG,-2.0226,147.2712,84.58,64,95,6.96,overcast clouds
224,Araouane,ML,18.9048,-3.5265,72.14,30,0,10.65,clear sky
225,Shagamu,NG,6.8432,3.6478,75.56,86,94,2.04,overcast clouds
226,Vilhena,BR,-12.7406,-60.1458,68.07,95,56,2.64,broken clouds
227,Fort Nelson,CA,58.8053,-122.7002,33.3,99,98,2.98,overcast clouds
228,Fallon,US,39.4735,-118.7774,44.47,26,0,5.75,clear sky
229,Syasstroy,RU,60.1367,32.5691,39.94,97,100,8.34,light rain
