City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,Tukrah,LY,2022-04-24 13:28:09,32.5341,20.5791,68.22,58,0,15.23
205,Port-Gentil,GA,2022-04-24 13:28:09,-0.7193,8.7815,82.36,74,20,4.61
206,Zhezkazgan,KZ,2022-04-24 13:28:10,47.8043,67.7144,48.18,93,100,15.66
207,Nome,US,2022-04-24 13:28:10,64.5011,-165.4064,37.47,87,100,6.91
208,Fort Nelson,CA,2022-04-24 13:23:42,58.8053,-122.7002,40.59,56,75,6.91
209,Gornopravdinsk,RU,2022-04-24 13:28:10,60.05,69.9,41.07,71,100,7.85
210,Kristiinankaupunki,FI,2022-04-24 13:28:11,62.2743,21.376,45.54,59,17,6.85
211,Salina Cruz,MX,2022-04-24 13:28:11,16.1667,-95.2,80.11,74,0,3.06
212,Harper,LR,2022-04-24 13:28:11,4.375,-7.7169,85.1,69,95,9.44
213,Novooleksiyivka,UA,2022-04-24 13:28:12,46.2269,34.6428,66.2,55,0,9.82
214,Dubai,AE,2022-04-24 13:25:09,25.2582,55.3047,95.29,51,0,14.97
215,Margate,GB,2022-04-24 13:28:12,51.3813,1.3862,55.69,76,0,11.01
216,Praia Da Vitoria,PT,2022-04-24 13:28:12,38.7333,-27.0667,64.65,68,40,19.44
217,San Bartolome De Tirajana,ES,2022-04-24 13:28:13,27.9248,-15.5733,56.32,73,75,8.05
218,Kieta,PG,2022-04-24 13:28:13,-6.2167,155.6333,79.16,81,100,2.89
219,Avera,US,2022-04-24 13:28:13,33.194,-82.5271,68.56,82,100,4.45
220,Katsuura,JP,2022-04-24 13:28:13,35.1333,140.3,62.62,94,100,12.71
221,Stromness,GB,2022-04-24 13:28:14,58.965,-3.296,48.16,74,100,8.99
222,Coahuayana,MX,2022-04-24 13:28:14,18.7333,-103.6833,67.42,61,14,3.36
223,Nikolskoye,RU,2022-04-24 13:28:14,59.7035,30.7861,49.91,63,100,10.18
224,Labuhan,ID,2022-04-24 13:28:15,-6.8844,112.2051,79.88,85,100,4.54
225,Alofi,NU,2022-04-24 13:28:15,-19.0595,-169.9187,73.29,94,96,1.14
226,Groa,NO,2022-04-24 13:28:15,62.65,8.7167,47.66,91,42,2.53
227,Talnakh,RU,2022-04-24 13:28:16,69.4865,88.3972,2.98,97,26,4.12
228,New Norfolk,AU,2022-04-24 13:28:16,-42.7826,147.0587,55.92,80,37,0.51
229,Tigre,AR,2022-04-24 13:26:58,-34.426,-58.5796,69.28,63,0,10.36
230,Dubbo,AU,2022-04-24 13:29:16,-32.25,148.6167,59.13,77,100,11.5
231,San Cristobal,VE,2022-04-24 13:29:16,7.7669,-72.225,66.38,94,100,1.36
232,Cidreira,BR,2022-04-24 13:29:17,-30.1811,-50.2056,67.69,61,0,9.57
233,Almaznyy,RU,2022-04-24 13:29:17,48.0448,40.045,65.52,52,59,14.88
234,Porto Alegre,BR,2022-04-24 13:24:22,-30.0331,-51.23,67.26,73,0,6.91
235,Caravelas,BR,2022-04-24 13:29:17,-17.7125,-39.2481,87.42,60,36,4.5
236,Laguna,US,2022-04-24 13:28:57,38.421,-121.4238,51.31,80,0,5.75
237,Saldanha,ZA,2022-04-24 13:29:18,-33.0117,17.9442,68.05,71,0,12.64
238,Disna,BY,2022-04-24 13:29:18,55.568,28.1971,47.14,75,100,12.28
239,Golfito,CR,2022-04-24 13:29:19,8.639,-83.166,76.21,91,47,1.1
240,Asau,RO,2022-04-24 13:29:19,46.4333,26.4,75.96,27,43,3.89
241,Jiazi,CN,2022-04-24 13:29:19,22.8779,116.067,77.88,85,3,6.55
242,Youghal,IE,2022-04-24 13:29:19,51.95,-7.8506,57.09,75,95,19.08
243,Namibe,AO,2022-04-24 13:29:20,-15.1961,12.1522,74.71,70,18,8.84
244,Braniewo,PL,2022-04-24 13:29:20,54.3797,19.8196,49.6,74,14,15.32
245,Korla,CN,2022-04-24 13:29:21,41.7597,86.1469,75.67,24,11,15.82
246,Bardiyah,LY,2022-04-24 13:29:21,31.7561,25.0865,70.34,52,0,11.59
247,Plettenberg Bay,ZA,2022-04-24 13:29:21,-34.0527,23.3716,62.74,53,43,11.48
248,Luderitz,NA,2022-04-24 13:29:21,-26.6481,15.1594,70.03,37,0,30.53
249,Kampong Thum,KH,2022-04-24 13:29:22,12.7111,104.8887,85.03,68,63,1.23
250,Huacho,PE,2022-04-24 13:29:22,-11.1067,-77.605,68.83,80,68,6.89
251,Tabou,CI,2022-04-24 13:29:22,4.423,-7.3528,85.41,70,81,10.98
252,San Vicente,AR,2022-04-24 13:29:23,-26.6167,-54.1333,74.44,67,0,5.12
253,Tukan,RU,2022-04-24 13:29:23,53.8409,57.4552,54.21,34,100,4.09
254,Mana,GF,2022-04-24 13:29:23,5.6592,-53.7767,81.41,75,92,6.78
255,Yinchuan,CN,2022-04-24 13:29:24,38.4681,106.2731,74.48,9,20,5.3
256,Okato,NZ,2022-04-24 13:29:24,-39.2,173.8833,58.17,86,73,10.0
257,Bojnurd,IR,2022-04-24 13:29:24,37.4747,57.329,76.95,22,20,11.5
258,Kozhva,RU,2022-04-24 13:29:24,65.1073,57.0459,34.93,84,100,2.53
259,Coihaique,CL,2022-04-24 13:29:25,-45.5752,-72.0662,34.41,100,100,4.61
260,Barao De Melgaco,BR,2022-04-24 13:29:25,-16.1944,-55.9675,85.91,54,82,6.04
261,Fredericksburg,US,2022-04-24 13:27:35,38.3032,-77.4605,70.95,68,0,1.01
262,Lorengau,PG,2022-04-24 13:29:25,-2.0226,147.2712,80.58,81,72,5.3
263,Hervey Bay,AU,2022-04-24 13:29:26,-25.2986,152.8535,71.02,73,53,7.0
264,Port Elizabeth,ZA,2022-04-24 13:25:28,-33.918,25.5701,67.1,73,0,21.85
265,Zharkent,KZ,2022-04-24 13:29:26,44.1628,80.0,70.56,35,100,21.92
266,Mantua,IT,2022-04-24 13:29:27,45.1667,10.7833,61.05,68,100,7.0
267,Tasiilaq,GL,2022-04-24 13:29:27,65.6145,-37.6368,42.96,70,100,3.02
268,Rincon,US,2022-04-24 13:28:21,32.296,-81.2354,73.85,78,40,3.44
269,Faanui,PF,2022-04-24 13:29:27,-16.4833,-151.75,79.99,73,100,5.95
270,Saint George,US,2022-04-24 13:29:28,37.1041,-113.5841,46.99,45,0,6.91
271,Mountain Home,US,2022-04-24 13:26:27,43.133,-115.6912,29.68,100,0,5.75
272,Santa Cruz,BO,2022-04-24 13:29:28,-17.8,-63.1667,78.85,83,75,16.11
273,Juazeiro Do Norte,BR,2022-04-24 13:29:28,-7.2131,-39.3153,82.36,69,75,10.36
274,Galesong,ID,2022-04-24 13:29:29,-5.3166,119.3661,78.82,81,71,6.96
275,Adrar,MR,2022-04-24 13:29:29,20.5022,-10.0711,88.66,17,0,12.46
276,Pak Phanang,TH,2022-04-24 13:30:29,8.3511,100.202,86.02,74,75,5.12
277,Solnechnyy,RU,2022-04-24 13:30:29,50.7214,136.6319,19.76,93,70,5.23
